date,Nonfarm payrolls
2015-01-31,140562
2015-02-28,140831
2015-03-31,140925
2015-04-30,141202
2015-05-31,141539
2015-06-30,141695
2015-07-31,141989
2015-08-31,142130
2015-09-30,142265
2015-10-31,142584
2015-11-30,142810
2015-12-31,143083
2016-01-31,143196
2016-02-29,143411
2016-03-31,143666
2016-04-30,143856
2016-05-31,143901
2016-06-30,144152
2016-07-31,144515
2016-08-31,144664
2016-09-30,144961
2016-10-31,145069
2016-11-30,145188
2016-12-31,145410
2017-01-31,145636
2017-02-28,145848
2017-03-31,145976
2017-04-30,146173
2017-05-31,146389
2017-06-30,146588
2017-07-31,146772
2017-08-31,146907
2017-09-30,146999
2017-10-31,147146
2017-11-30,147375
2017-12-31,147521
2018-01-31,147667
2018-02-28,148054
2018-03-31,148280
2018-04-30,148426
2018-05-31,148755
2018-06-30,148968
2018-07-31,149023
2018-08-31,149274
2018-09-30,149361
2018-10-31,149525
2018-11-30,149622
2018-12-31,149804
2019-01-31,150062
2019-02-28,150067
2019-03-31,150294
2019-04-30,150602
2019-05-31,150640
2019-06-30,150844
2019-07-31,150934
2019-08-31,151155
2019-09-30,151358
2019-10-31,151458
2019-11-30,151666
2019-12-31,151792
2020-01-31,152045
2020-02-29,152309
2020-03-31,150898
2020-04-30,130421
2020-05-31,133040
2020-06-30,137655
2020-07-31,139240
2020-08-31,140774
2020-09-30,141820
2020-10-31,142493
2020-11-30,142761
2020-12-31,142518
2021-01-31,142916
2021-02-28,143443
2021-03-31,144274
2021-04-30,144593
2021-05-31,145044
2021-06-30,145822
2021-07-31,146761
2021-08-31,147226
2021-09-30,147706
2021-10-31,148566
2021-11-30,149197
2021-12-31,149763
2022-01-31,150014
2022-02-28,150876
2022-03-31,151370
2022-04-30,151642
2022-05-31,151928
2022-06-30,152348
2022-07-31,153038
2022-08-31,153281
2022-09-30,153536
2022-10-31,153897
2022-11-30,154155
2022-12-31,154291
2023-01-31,154773
2023-02-28,155060
2023-03-31,155206
2023-04-30,155484
2023-05-31,155787
2023-06-30,156027
2023-07-31,156211
2023-08-31,156421
2023-09-30,156667
2023-10-31,156832
2023-11-30,157014
2023-12-31,157304
2024-01-31,157560
2024-02-29,157796
2024-03-31,158106
2024-04-30,158214
2024-05-31,158430
2024-06-30,158548
2024-07-31,158637
2024-08-31,158779
