date,Nonfarm Payrolls
2024-09-06,22000
2024-08-02,62000
2024-07-05,-15000
2024-06-07,-90000
2024-05-03,63000
2024-04-05,-91000
2024-03-08,-77000
2024-02-02,-166000
2024-01-05,-46000
2023-12-08,-19000
2023-11-03,30000
2023-10-06,-166000
2023-09-01,-17000
2023-08-04,13000
2023-07-07,16000
2023-06-02,-159000
2023-05-05,-73000
2023-04-07,3000
2023-03-10,-106000
2023-02-03,-332000
2023-01-06,-23000
2022-12-02,-63000
2022-11-04,-61000
2022-10-07,-13000
2022-09-02,-15000
2022-08-05,-278000
2022-07-08,-104000
2022-06-03,-65000
2022-05-06,-37000
2022-04-01,59000
2022-03-04,-278000
2022-02-04,-317000
2022-01-07,201000
2021-12-03,340000
2021-11-05,-81000
2021-10-08,306000
2021-09-03,515000
2021-08-06,-73000
2021-07-02,-150000
2021-06-04,91000
2021-05-07,712000
2021-04-02,-269000
2021-03-05,-197000
2021-02-05,1000
2021-01-08,211000
2020-12-04,224000
2020-11-06,-38000
2020-10-02,189000
2020-09-04,29000
2020-08-07,-163000
2020-07-02,-1800000
2020-06-05,-10509000
2020-05-08,-1463000
2020-04-03,601000
2020-03-06,-98000
2020-02-07,-65000
2020-01-10,19000
2019-12-06,-80000
2019-11-01,-39000
2019-10-04,4000
2019-09-06,30000
2019-08-02,0
2019-07-05,-64000
2019-06-07,110000
2019-05-03,-82000
2019-04-05,-21000
2019-03-08,161000
2019-02-01,-139000
2019-01-04,-134000
2018-12-07,45000
2018-11-02,-57000
2018-10-05,51000
2018-09-07,-10000
2018-08-03,36000
2018-07-06,-13000
2018-06-01,-34000
2018-05-04,25000
2018-04-06,90000
2018-03-09,-113000
2018-02-02,-16000
2018-01-05,42000
2017-12-08,-28000
2017-11-03,49000
2017-10-06,123000
2017-09-01,24000
2017-08-04,-26000
2017-07-07,-43000
2017-06-02,47000
2017-05-05,-26000
2017-04-07,82000
2017-03-10,-35000
2017-02-03,-52000
2017-01-06,22000
2016-12-02,-3000
2016-11-04,14000
2016-10-07,19000
2016-09-02,29000
2016-08-05,-75000
2016-07-08,-112000
2016-06-03,126000
2016-05-06,42000
2016-04-01,-10000
2016-03-04,-52000
2016-02-05,39000
2016-01-08,-92000
2015-12-04,-11000
2015-11-06,-91000
2015-10-02,61000
2015-09-04,47000
2015-08-07,8000
2015-07-02,7000
2015-06-05,-55000
2015-05-08,1000
2015-04-03,119000
2015-03-06,-55000
2015-02-06,-23000
2015-01-09,-12000
2014-12-05,-96000
2014-11-07,17000
