date,Open,High,Low,Close,Adj Close,Volume,EPS_diff,UNRATE,AWHMAN,ICSA,ACOGNO,NEWORDER,PERMIT,SP500,T10YFF,USALOLITOAASTSAM,T10Y2Y,UMCSENT,FEDFUNDS,VIXCLS,event_id,day_relative_to_event,SMA_20,SMA_50,RSI,MACD
2015-04-24,45.65999984741211,48.13999938964844,45.650001525878906,47.869998931884766,41.48102951049805,130933700,0.10999999999999999,5.4,41.8,284000,191853.0,64697.0,1072.0,2079.99,1.93,100.480916413366,1.40,93.0,0.11,14.81,1,1,87.40649929046631,,94.92349882562446,-4.2476498039609965
2015-07-22,45.43999862670898,46.93000030517578,45.20000076293945,45.540000915527344,39.71846008300781,59152400,0.05999999999999994,5.3,41.8,273750,192813.0,63781.0,1379.0,2099.28,2.24,100.130445092144,1.68,96.1,0.13,14.34,2,1,87.40649929046631,,94.92349882562446,-4.2476498039609965
2015-10-23,52.29999923706055,54.06999969482422,52.25,52.869998931884766,46.41550827026367,135227100,0.09000000000000008,5.0,41.8,269500,186601.0,63266.0,1144.0,1944.40,2.04,99.613292239032,1.46,87.2,0.14,24.38,3,1,87.40649929046631,,94.92349882562446,-4.2476498039609965
2016-01-29,54.72999954223633,55.09000015258789,54.0,55.09000015258789,48.69047927856445,83611700,0.09000000000000008,5.0,41.8,271000,180482.0,60173.0,1211.0,2054.08,2.01,99.2424035144421,1.26,92.6,0.24,18.03,4,1,87.40649929046631,,94.92349882562446,-4.2476498039609965
2016-04-22,51.90999984741211,52.43000030517578,50.77000045776367,51.77999877929688,46.09357833862305,126834100,-0.010000000000000009,5.0,41.8,263250,179783.0,60644.0,1118.0,2021.95,1.53,99.0867346859161,1.01,91.0,0.36,15.85,5,1,87.40649929046631,,94.92349882562446,-4.2476498039609965
2016-07-20,56.150001525878906,56.84000015258789,55.52999877929688,55.90999984741211,50.11813354492188,89893300,0.10999999999999999,4.9,41.8,265250,184283.0,59332.0,1208.0,2083.89,1.27,99.0939401301081,0.91,93.5,0.38,17.77,6,1,87.40649929046631,,94.92349882562446,-4.2476498039609965
2016-10-21,60.27999877929688,60.45000076293945,59.4900016784668,59.65999984741211,53.812984466552734,80032200,0.07999999999999996,5.0,41.9,251500,182899.0,59489.0,1303.0,2157.69,1.24,99.24341923514427,0.86,91.2,0.4,14.22,7,1,87.40649929046631,,94.92349882562446,-4.2476498039609965
2017-01-27,65.38999938964844,65.91000366210938,64.88999938964844,65.77999877929688,59.734012603759766,44818000,0.039999999999999925,4.7,41.9,252200,189754.0,59590.0,1248.0,2246.63,1.96,99.6679035956588,1.30,98.2,0.54,12.47,8,1,87.40649929046631,,94.92349882562446,-4.2476498039609965
2017-04-28,68.91000366210938,69.13999938964844,67.69000244140625,68.45999908447266,62.5445671081543,39548800,0.040000000000000036,4.4,41.8,233750,186965.0,61217.0,1272.0,2366.82,1.70,99.90791382269568,1.17,96.9,0.79,11.90,9,1,87.40649929046631,,94.92349882562446,-4.2476498039609965
2017-07-21,73.44999694824219,74.29000091552734,73.16999816894531,73.79000091552734,67.80046081542969,46717100,0.27,4.3,42.0,248000,185638.0,60282.0,1353.0,2433.99,1.15,99.9438878626564,0.84,95.0,1.04,10.51,10,1,87.40649929046631,,94.92349882562446,-4.2476498039609965
2017-10-27,84.37000274658203,86.19999694824219,83.61000061035156,83.80999755859375,77.41739654541016,71066700,0.12,4.3,41.9,272400,189788.0,63738.0,1273.0,2492.84,1.05,100.157121409161,0.82,95.1,1.15,10.44,11,1,87.40649929046631,,94.92349882562446,-4.2476498039609965
2018-02-01,94.79000091552734,96.06999969482422,93.58000183105467,94.26000213623048,87.50760650634766,47227900,0.09999999999999998,4.0,41.9,235250,199734.0,63684.0,1317.0,2789.80,1.17,100.668635534121,0.55,95.7,1.41,11.06,12,1,87.40649929046631,,94.92349882562446,-4.2476498039609965
2018-04-27,97.5999984741211,97.9000015258789,93.91000366210938,95.81999969482422,89.37374877929688,48272800,0.09999999999999998,4.0,42.2,225800,199775.0,64151.0,1385.0,2702.77,1.34,100.853038383548,0.57,101.4,1.51,19.02,13,1,87.40649929046631,,94.92349882562446,-4.2476498039609965
2018-07-20,108.08000183105467,108.1999969482422,106.08000183105467,106.2699966430664,99.55034637451172,56004000,0.05999999999999983,4.0,42.2,222600,203807.0,67716.0,1345.0,2754.35,1.09,100.804780122537,0.38,98.2,1.82,13.68,14,1,87.40649929046631,,94.92349882562446,-4.2476498039609965
2018-10-25,106.5500030517578,109.2699966430664,106.1500015258789,108.3000030517578,101.84239959716795,61646800,0.17999999999999994,3.7,42.0,205200,207405.0,67190.0,1314.0,2901.50,1.06,100.485319382087,0.24,100.1,1.95,12.91,15,1,87.40649929046631,,94.92349882562446,-4.2476498039609965
2019-01-31,103.8000030517578,105.22000122070312,103.18000030517578,104.43000030517578,98.62741088867188,55636400,0.010000000000000009,4.0,42.0,222750,199495.0,66871.0,1261.0,2607.39,0.31,99.65139055242408,0.17,91.2,2.4,19.57,16,1,87.40649929046631,,87.42477873127594,-4.2476498039609965
2019-04-25,130.05999755859375,131.3699951171875,128.8300018310547,129.14999389648438,122.49476623535156,38033900,0.1399999999999999,3.8,41.7,211800,201488.0,67592.0,1305.0,2803.98,0.17,99.3358009873195,0.16,98.4,2.41,14.49,17,1,87.40649929046631,,91.85236303442844,-4.2476498039609965
2019-07-19,140.22000122070312,140.6699981689453,136.4499969482422,136.6199951171875,130.05947875976562,48992400,0.16000000000000014,3.6,41.7,225200,198808.0,66127.0,1315.0,2890.17,-0.30,98.9769665881838,0.26,98.2,2.38,15.84,18,1,87.40649929046631,,92.68994765221221,-4.2476498039609965
2019-10-24,139.38999938964844,140.4199981689453,138.6699981689453,139.94000244140625,133.66368103027344,37029300,0.1299999999999999,3.5,41.5,209500,196780.0,64927.0,1474.0,2982.16,-0.35,98.84114311296292,0.05,93.2,2.04,15.56,19,1,87.40649929046631,,93.0327633027056,-4.2476498039609965
2020-01-30,174.0500030517578,174.0500030517578,170.7899932861328,172.77999877929688,165.59239196777344,51597500,0.18999999999999995,3.6,41.4,236000,194939.0,62742.0,1451.0,3176.75,0.31,99.0546186213183,0.25,99.3,1.55,13.76,20,1,87.40649929046631,,95.35381706622971,-4.2476498039609965
2020-07-23,207.19000244140625,210.9199981689453,202.1499938964844,202.5399932861328,195.1866455078125,67457000,0.08000000000000007,11.0,39.9,1490250,172517.0,58274.0,1338.0,3104.66,0.65,96.1431955429304,0.54,78.1,0.08,31.12,22,1,95.1399990081787,,96.49375523511162,-4.2476498039609965
2020-10-28,207.6699981689453,208.83999633789065,202.1000061035156,202.67999267578125,195.793701171875,51195600,0.29000000000000004,7.8,41.2,851750,185169.0,61549.0,1624.0,3365.52,0.59,98.7370469361857,0.54,80.4,0.09,27.65,23,1,102.9969985961914,,96.49810800508183,-4.2476498039609965
2021-01-27,238.0,240.44000244140625,230.13999938964844,232.8999938964844,225.5759735107422,69870600,0.3899999999999999,6.7,41.4,836750,194186.0,63538.0,1744.0,3695.31,0.84,99.92670655661,0.80,80.7,0.09,22.37,24,1,111.99849834442139,,97.2823779368848,-4.2476498039609965
2021-04-28,256.0799865722656,256.5400085449219,252.9499969482422,254.55999755859372,247.1226959228516,46903100,0.18999999999999995,6.1,41.6,669250,200903.0,66492.0,1732.0,3910.51,1.54,101.001751561517,1.46,84.9,0.07,21.84,25,1,121.97199821472168,,97.6829234969688,-4.2476498039609965
2021-07-28,288.989990234375,290.1499938964844,283.8299865722656,286.2200012207031,278.4992980957031,33566900,0.27,5.9,41.4,410500,210248.0,67907.0,1657.0,4238.49,1.44,101.338379376802,1.32,85.5,0.08,16.96,26,1,133.693998336792,,98.11926586791297,-4.2476498039609965
2021-10-27,316.0,326.1000061035156,316.0,323.1700134277344,315.0545959472656,52588700,0.20999999999999996,4.7,41.4,354500,216321.0,68790.0,1625.0,4445.54,1.30,101.164667218887,1.13,72.8,0.08,19.82,27,1,147.05699901580812,,98.47921634865696,-4.2476498039609965
2022-01-26,307.989990234375,308.5,293.0299987792969,296.7099914550781,289.7882995605469,90428900,0.18999999999999995,3.9,41.4,211000,227848.0,71196.0,1913.0,4674.77,1.39,101.052117062065,0.79,70.6,0.08,21.35,28,1,158.9094985961914,,85.8134616998699,-4.2476498039609965
2022-04-27,282.1000061035156,290.9700012207031,279.1600036621094,283.2200012207031,277.1849060058594,63477700,0.040000000000000036,3.6,41.5,213250,248755.0,72013.0,1879.0,4391.27,1.93,100.648489273259,0.22,59.4,0.2,26.97,29,1,169.78149871826173,,80.15348047702012,-4.2476498039609965
2022-07-27,261.1600036621094,270.04998779296875,258.8500061035156,268.739990234375,263.6260070800781,45994000,-0.04999999999999982,3.6,41.0,214500,264445.0,72817.0,1745.0,3898.95,1.96,99.7728562456382,0.15,50.0,1.21,28.23,30,1,179.79549827575684,,74.47524439304723,-4.2476498039609965
2022-10-26,231.1699981689453,238.3000030517578,230.05999755859372,231.32000732421875,227.3998107910156,82543200,0.06000000000000005,3.5,41.0,197750,254790.0,72699.0,1613.0,3850.52,0.94,99.13701318936528,-0.34,58.6,2.56,27.34,31,1,187.6719985961914,,62.210131356125885,-4.2476498039609965
2023-01-25,234.47999572753903,243.3000030517578,230.8999938964844,240.6100006103516,237.1989288330078,66526600,0.04999999999999982,3.5,40.4,208400,248202.0,72932.0,1400.0,3912.38,-0.48,98.8707345735724,-0.67,59.8,4.1,21.78,32,1,195.5119987487793,,63.80387405207188,-4.2476498039609965
2023-04-26,296.70001220703125,299.57000732421875,292.7300109863281,295.3699951171875,291.91192626953125,64599200,0.22999999999999998,3.5,40.6,227000,243859.0,73044.0,1493.0,3968.56,-0.99,98.8249659495886,-0.64,62.0,4.65,21.64,33,1,205.56749839782714,,71.44778070450415,-4.2476498039609965
2023-07-26,341.44000244140625,344.6700134277344,333.1099853515625,337.7699890136719,334.5452575683594,58383700,0.1499999999999999,3.6,40.8,253500,241012.0,73737.0,1493.0,4345.37,-1.33,99.0416688695525,-0.89,64.2,5.08,14.00,34,1,217.66499786376954,,75.72280738625264,-4.2476498039609965
2023-10-25,345.0199890136719,346.20001220703125,337.6199951171875,340.6700134277344,338.1319885253906,55053800,0.3400000000000003,3.8,40.7,218800,252902.0,73963.0,1515.0,4409.10,-0.95,99.2831550338027,-0.64,67.8,5.33,15.17,35,1,229.38499870300294,,75.98762967517784,-4.2476498039609965
2024-01-31,406.9599914550781,415.3200073242188,397.2099914550781,397.5799865722656,395.4189147949219,47871100,0.17000000000000037,3.7,40.2,209500,243853.0,73527.0,1508.0,4804.49,-1.27,99.6920269553522,-0.26,79.0,5.33,13.39,36,1,243.84899787902833,,80.48615636584664,0.3606153759861286
2024-04-26,412.1700134277344,413.0,405.760009765625,406.3200073242188,404.8587341308594,29694700,0.1299999999999999,3.8,40.7,213600,252395.0,73774.0,1485.0,5170.57,-1.12,99.98360993077428,-0.38,79.4,5.33,13.79,37,1,258.9434982299805,,81.07261142053295,3.0976051580082355
2024-07-31,420.5,421.7799987792969,412.2099914550781,418.3500061035156,417.5973205566406,42891400,0.050000000000000266,4.3,40.6,238250,250286.0,73628.0,1406.0,5538.00,-1.08,99.9911960371401,-0.25,66.4,5.33,14.37,38,1,273.403498840332,,81.8798314849719,4.721136889185274
